,index,subject,relation,object
754,1144588,dia,isa,software
755,1144589,dia,isa,company
756,1145069,diamond,isa,artifact
757,1145104,diana,isa,given_name
758,1145437,die,isa,device
759,1145439,die,isa,tangible_thing
760,1145483,diesel,isa,company
761,1145519,dieter,isa,person
762,1146242,diplomacy,isa,book
763,1146278,diplomats,isa,band
764,1146457,director,isa,person
765,1146549,disabled,isa,people
766,1146620,disbelief,isa,band
767,1146950,dismantling,isa,activity
768,1146990,disorder,isa,state
769,1147136,disrupting,isa,event
770,1147182,dissident,isa,agent_non_geographical
771,1147183,dissident,isa,organization
772,1147235,distance,isa,region
773,1147264,distillers,isa,band
774,1147353,distributor,isa,company
775,1147364,district,isa,film
776,1147367,district,isa,state
777,1147368,district,isa,tangible_thing
778,1147369,district,isa,region
779,1147461,divergent,isa,book
780,1147525,divine,isa,person
781,1147566,division,isa,state
782,1147567,division,isa,tangible_thing
783,1147715,dnipropetrovsk,isa,city
784,1147721,do,isa,musical_artist
785,1147832,doctor,isa,person
786,1147899,documentary,isa,album
787,1147925,dodge,isa,company
788,1148408,dominion,isa,area
789,1148410,dominion,isa,state
790,1148414,dominique,isa,given_name
791,1148465,donetsk,isa,city
792,1148491,donovan,isa,musical_artist
793,1148509,doomed,isa,people
794,1148524,door,isa,structure
795,1148560,doors,isa,band
796,1148680,dortmund,isa,city
797,1148692,dos,isa,album
798,1148737,double,isa,person
799,1148739,double,isa,musical_artist
800,1149376,dream,isa,musical_artist
801,1149385,dream,isa,band
802,1149386,dream,isa,company
803,1149414,dresden,isa,city
804,1149541,drill,isa,device
805,1149651,drive,isa,device
806,1149675,driver,isa,person
807,1149782,dropping,isa,event
808,1150251,dubai,isa,city
809,1150257,dublin,isa,city
810,1150272,ducati,isa,company
811,1150367,duffy,isa,musical_artist
812,1150381,duisburg,isa,city
813,1150474,dungeon,isa,magazine
814,1150593,dust,isa,tangible_thing
815,1150634,dutch,isa,person
816,1150673,dutchman,isa,person
817,1150674,dutchman,isa,person_with_nationality
818,1150855,dynamo,isa,person
819,1151194,earth,isa,location
820,1151275,east,isa,location
821,1151434,easy,isa,film
822,1151712,eco,isa,software
823,1151794,economist,isa,person
824,1151861,ecuador,isa,country
825,1151886,ed,isa,company
826,1151887,ed,isa,software
827,1151904,eddie,isa,given_name
828,1151936,edge,isa,musical_artist
829,1151943,edge,isa,magazine
830,1151944,edge,isa,person
831,1152020,edinburgh,isa,city
832,1152024,edison,isa,company
833,1152043,editor,isa,person
834,1152074,edna,isa,given_name
835,1152089,education,isa,film
836,1152092,education,isa,activity
837,1152126,edward,isa,given_name
838,1152158,edwin,isa,given_name
839,1152345,egypt,isa,country
840,1152348,egypt,isa,administrative_region
841,1152349,egyptian,isa,book
842,1152350,egyptian,isa,african
843,1152352,egyptian,isa,human
844,1152481,eindhoven,isa,city
845,1152668,elected,isa,band
846,1152720,electorate,isa,tangible_thing
847,1153454,elizabeth,isa,given_name
848,1153557,els,isa,river
849,1153559,else,isa,river
850,1153882,emmanuel,isa,musical_artist
851,1153927,emotions,isa,band
852,1153971,empire,isa,book
853,1153995,employee,isa,person
854,1154011,employment,isa,state
855,1154130,encephalopathy,isa,disease
856,1154162,enclosure,isa,area
857,1154178,encounter,isa,magazine
858,1154212,end,isa,part
859,1154218,end,isa,state
860,1154220,end,isa,book
861,1154257,endemic,isa,disease
862,1154266,ending,isa,event
863,1154453,enemies,isa,people
864,1154456,enemy,isa,people
865,1154554,engineer,isa,person
866,1154573,england,isa,country
867,1154675,englishman,isa,human
868,1154676,englishman,isa,person
869,1154677,englishman,isa,person_with_nationality
870,1154724,enjoyment,isa,activity
871,1154758,ennea,isa,album
872,1154933,enterprise,isa,organization
873,1154954,entertainment,isa,album
874,1155101,environment,isa,region
875,1155104,environment,isa,tangible_thing
876,1155686,era,isa,band
877,1155789,eric,isa,book
878,1155854,eritrea,isa,country
879,1155855,eritrea,isa,state
880,1155857,eritrean,isa,african
881,1155859,eritrean,isa,person
882,1155860,eritrean,isa,person_with_nationality
883,1155878,ernest,isa,given_name
884,1156059,escaped,isa,film
885,1156237,essex,isa,administrative_region
886,1156251,establishment,isa,structure
887,1156253,establishment,isa,organization
888,1156295,estonia,isa,country
889,1156297,estonian,isa,human
890,1156298,estonian,isa,person
891,1156299,estonian,isa,person_with_nationality
892,1156442,ethiopia,isa,country
893,1156445,ethiopia,isa,state
894,1156481,ethnic,isa,person
895,1156745,eugene,isa,musical_artist
